id,predicted_label,predicted_proba
1,0,0.48
2,1,0.53
3,1,0.57
4,1,0.68
5,1,0.59
6,1,0.56
7,1,0.64
8,1,0.66
9,1,0.64
10,1,0.67
11,0,0.47
12,1,0.51
13,1,0.65
14,1,0.6
15,1,0.72
16,1,0.65
17,1,0.63
18,1,0.67
19,0,0.48
20,1,0.52
21,1,0.74
22,1,0.6
23,0,0.49
24,0,0.46
25,1,0.57
26,1,0.61
27,1,0.74
28,1,0.54
29,1,0.63
30,1,0.73
31,1,0.58
32,1,0.55
33,0,0.45
34,1,0.65
35,1,0.62
36,1,0.62
37,1,0.52
38,1,0.66
39,1,0.65
40,1,0.6
41,1,0.58
42,1,0.7
43,1,0.62
44,1,0.57
45,1,0.57
46,1,0.69
47,1,0.56
48,1,0.74
49,1,0.61
50,1,0.66
51,1,0.58
52,0,0.48
53,1,0.64
54,1,0.6
55,0,0.46
56,0,0.43
57,1,0.66
58,0,0.23
59,1,0.53
60,0,0.38
61,0,0.46
62,0,0.49
63,1,0.55
64,1,0.58
65,0,0.48
66,1,0.68
67,1,0.57
68,1,0.56
69,0,0.29
70,1,0.55
71,1,0.64
72,1,0.54
73,0,0.43
74,1,0.62
75,1,0.58
76,1,0.67
77,0,0.39
78,1,0.51
79,0,0.49
80,0,0.46
81,0,0.45
82,0,0.4
83,1,0.52
84,1,0.56
85,1,0.62
86,0,0.47
87,1,0.51
88,1,0.61
89,0,0.48
90,1,0.55
91,1,0.54
92,1,0.53
93,0,0.46
94,0,0.48
95,1,0.63
96,1,0.69
97,1,0.65
98,1,0.61
99,1,0.65
100,0,0.5
