id,predicted_label,predicted_proba
1,0,0.39944178
2,0,0.3990784
3,1,0.7585636
4,1,0.980185
5,1,0.99545574
6,1,0.6921737
7,1,0.97986835
8,1,0.98704034
9,1,0.9228546
10,1,0.97800887
11,0,0.09871362
12,1,0.8576477
13,1,0.95181787
14,1,0.93646455
15,1,0.7650543
16,1,0.9843652
17,1,0.94004023
18,1,0.99272424
19,0,0.2795313
20,1,0.9768858
21,1,0.97210103
22,1,0.92601514
23,0,0.1353177
24,1,0.96646076
25,1,0.9685582
26,1,0.9828613
27,1,0.9978471
28,1,0.9789748
29,1,0.9346379
30,1,0.9698296
31,0,0.3143497
32,1,0.94165695
33,0,0.30670318
34,1,0.9960056
35,1,0.9862721
36,1,0.9300854
37,1,0.7743299
38,1,0.80723304
39,1,0.92728996
40,1,0.95739657
41,1,0.9783797
42,1,0.94759506
43,1,0.951659
44,1,0.9430751
45,1,0.8835562
46,1,0.72859055
47,1,0.70541704
48,1,0.8112098
49,1,0.9370423
50,1,0.9921951
51,0,0.08835068
52,0,0.36865997
53,1,0.9734002
54,1,0.5717959
55,0,0.29970393
56,1,0.9626384
57,1,0.68232006
58,0,0.12209147
59,1,0.79596865
60,0,0.14291224
61,0,0.41327313
62,1,0.80600566
63,1,0.8275992
64,1,0.56878453
65,1,0.9593468
66,1,0.9934803
67,0,0.12005363
68,1,0.9214007
69,0,0.02693183
70,1,0.975828
71,1,0.7747541
72,1,0.915126
73,1,0.7736083
74,1,0.9725175
75,1,0.9844488
76,0,0.4692497
77,1,0.845523
78,0,0.37428543
79,0,0.3604529
80,0,0.43068472
81,0,0.003503991
82,0,0.48110262
83,1,0.67493653
84,1,0.90672696
85,1,0.704463
86,1,0.7206771
87,1,0.67082554
88,1,0.9942551
89,0,0.2591907
90,1,0.5947103
91,1,0.7989247
92,0,0.28509215
93,1,0.8589367
94,1,0.9543356
95,1,0.6173693
96,1,0.93241173
97,0,0.20830204
98,1,0.8613139
99,1,0.98531055
100,0,0.22740154
